id,title,description,authors,image,publisher,published_at,categories
142603,Buddhist Epistemology (Contributions in Philosophy),Provides a clear and exhaustive exposition of epistemology and logic in the Buddhist philosophical tradition.,"Siddheswar Rameshwar Bhatt', 'S. R.. Bhatt', 'Anu Mehrotra', 'Dignaga",http://books.google.com/books/content?id=G-cAoYoJSnYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Greenwood Publishing Group,2000,Religion
110478,Computational Chemistry Using the PC,"An introduction to computational chemistry, molecular orbital calculations and molecular mechanics. This second edition takes in recent developments in hardware and software. The book includes a disk with about 50 complete projects and selected output files suitable for self-study.",Donald Rogers,http://books.google.com/books/content?id=wAspAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,VCH Publishers,1994,Chemistry
190029,The Westerners: Frontier Stories,"A collection of seven western stories, one non-fiction piece on Death Valley, and one non-fiction story of whaling in Australia.",Zane Grey,http://books.google.com/books/content?id=7taJZVVs6CsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Five Star (ME),2000,Fiction
196329,"Pragmatics of human communication;: A study of interactional patterns, pathologies, and paradoxes","For the first time, a new generation of readers will have the opportunity to experience the ideas set forth in Pragmatics of Human Communication, a book that formed the foundation of much research into interpersonal communication in the latter portion of the 20th century. A new preface by Bill O'Hanlon puts Watzlawick's work in context for readers in this new paperback edition. Topics covered in this wide-ranging book include: the origins of communication; the idea that all behavior is communication; meta-communcation; the properties of an open system; the family as a system of communication; the nature of paradox in psychotherapy; existentialism and human communication. After defining certain general concepts, the authors present basic characteristics of human communication and illustrate their manifestations and potential pathologies. Then the systemic aspects of human interactions that arise from the patterning of specific characteristics of communication are exemplified by the analysis of Albee's Who's Afraid of Virginia Woolf?","Paul Watzlawick', 'Janet Beavin Bavelas', 'Don D. Jackson', ""Bill O",http://books.google.com/books/content?id=Ob9UAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,W. W. Norton & Company,2011-04-25,Psychology
155193,Discover Your Child's Learning Style: Children Learn in Unique Ways - Here's the Key to Every Child's Learning Success,"A guide to understanding learning strengths and weaknesses explains how to integrate talents, interests, disposition, and preferred learning environment into a successful, individualized educational plan","Mariaemma Willis', 'Victoria Kindle Hodson",http://books.google.com/books/content?id=5P70sRFbcY0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Prima Lifestyles,1999,Family & Relationships
121505,Diccionario espaol/ingls - ingls/espaol: Oxford Spanish,"Translation in Spanish-English and English-Spanish ; and this volume has 300,000 words and phrases; 500,000 translations.","Beatriz Galimberti Jarman', 'Roy Russell', 'Carol Styles Carvajal', 'Nicholas Rollin",http://books.google.com/books/content?id=Bdg5PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Oxford University Press, USA",2008-01-01,Education
66467,Burt's Bees Baby Skin Care Kit (Mega Mini Kits),"With an instructional handbook on staying itch free, this kit features a safe herbal insect repellent and a soothing herbal ointment, along with a full-size tube of Burt's Bees Famous Beeswax Lip Balm. Illustrations. Consumable.",Running Press,http://books.google.com/books/content?id=7VVTAwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Running PressBook Pub,2004-06,Health & Fitness
83429,"Eugenics and other evils,","From the introduction: ""I publish these essays at the present time for a particular reason connected with the present situation; a reason which I should like briefly to emphasise and make clear. Though most of the conclusions, especially towards the end, are conceived with reference to recent events, the actual bulk of preliminary notes about the science of Eugenics were written before the war ....""",Gilbert Keith Chesterton,http://books.google.com/books/content?id=m2xaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,United Holdings Group,1922,Eugenics
44118,A History of the Church in England,History of the Church in England,John Moorman,http://books.google.com/books/content?id=6PwyEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Church Publishing, Inc.",1994,History
153273,The exquisite corpse;: A novel,"From the author of Lost Souls, Drawing Blood, and Wormwood comes a thrilling and chilling novel that bestselling author Peter Straub says serves as a “guidebook to hell.” To serial slayer Andrew Compton, murder is an art, the most intimate art. After feigning his own death to escape from prison, Compton makes his way to the United States with the sole ambition of bringing his “art” to new heights. Tortured by his own perverse desires, and drawn to possess and destroy young boys, Compton inadvertently joins forces with Jay Byrne, a dissolute playboy who has pushed his “art” to limits even Compton hadn’t previously imagined. Together, Compton and Byrne set their sights on an exquisite young Vietnamese-American runaway, Tran, whom they deem to be the perfect victim. Swiftly moving from the grimy streets of London’s Piccadilly Circus to the decadence of the New Orleans French Quarter, Poppy Z. Brite dissects the landscape of torture and invites us into the mind of a killer. Exquisite Corpse confirms Brite as a writer who defies categorization. It is a novel for those who dare trespass where the sacred and profane become one.",Poppy Z. Brite,http://books.google.com/books/content?id=sNjSPfnFNbUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Simon and Schuster,1997-08-20,Fiction
115523,Angel Oracle Deck: Let the Healing Energy of Angels into Your Life,"Angels have immense power to touch us with their protection, guidance, andlove. With this beautiful deck you now have the means to access this divine wisdom from the heavenly realm. You can pick a card to help you with an everyday problem, or you can make a selection to gain past, present and future perspectives on a major challenge. The 32-page booklet provides details on each of the 36 angels, and offers full instruction on how to best use the cards.",Ambika Wauters,http://books.google.com/books/content?id=THvDPAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Connections Book Publishing,2006-02-15,"Body, Mind & Spirit"
17355,The Once-a-Week Cooking Plan: The Incredible Cooking Program That Will Save You 10 to 20 Hours a Week (and Have Your Family Begging for More!),At head of title: Hundreds of easy-to-make recipes.,Heather Houck Reseck,http://books.google.com/books/content?id=7b3EXJW6pfgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Review and Herald Pub Assoc,2002,Make-ahead cooking
102359,Devil Knows Youre Dead,"In the full-throttle, noir-soaked tradition of Dennis Lehane and Michael Connelly, the acclaimed young author of Bad Connection unleashes an ambitious and edgy new thriller pulsating with raw, urban energy. Decorated NYPD Officer John Coglin always thought his picture on the front page of the newspaper would be one for the scrapbook. That was before he had the bad luck to be forced into a witness-free, kill-or-be-killed confrontation with a drug-dealing thug. It's of no help to him that the incident took place during the run-up to a bitter mayoral election campaign, and that his adversary was sixteen years old and black. Now, instead of another commendation, Coglin is staring down the barrel of a media- and politics-stoked murder rap. But on the eve of his sure conviction arrives a fateful telephone call. It's not the governor, but his long-lost uncle, Aidan O'Connell. A veteran of the IRA and a recently released guest of San Quentin Penitentiary for armed-to-the-teeth robbery, Aidan offers his nephew a pardon that has nothing to do with lawyers. Coglin is about to find out that the type of amnesty Uncle Aidan is proposing is the kind that involves a beautiful but dangerous Mafia widow, a car trunk full of M-16s, and thirty million dollars in jewels smack dab in the middle of Rockefeller Center. Before the Devil Knows You're Dead is a highly entertaining, deliciously gritty, super-fast thriller that takes us on a cutthroat ride into an urban realm where criminal intent collides head-on with the vagaries of fate and the inscrutabilities of the human heart.",Michael Ledwidge,http://books.google.com/books/content?id=1IykHOGEVQ8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Simon and Schuster,2003-01-01,Fiction
120967,"Across Time, Love Eternal","Harry Porter type of adventure featuring a black youth and time travel through the ages, the pyramids of egypt and more",O. J. Harp,http://books.google.com/books/content?id=FuYEAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Seaburn Publishing,2002,Juvenile Fiction
137331,Piercing Time and Space,An Exploration of the understanding of nature and spirituality that links the scientific with the metaphysic.,Traci L. Slatton,http://books.google.com/books/content?id=sJPWAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Are Press,2005,"Body, Mind & Spirit"
134808,Tis: A Memoir,"Frank McCourt’s glorious childhood memoir, Angela’s Ashes, has been loved and celebrated by readers everywhere for its spirit, its wit and its profound humanity. A tale of redemption, in which storytelling itself is the source of salvation, it won the National Book Critics Circle Award, the Los Angeles Times Book Award and the Pulitzer Prize. Rarely has a book so swiftly found its place on the literary landscape. And now we have ’Tis, the story of Frank’s American journey from impoverished immigrant to brilliant teacher and raconteur. Frank lands in New York at age nineteen, in the company of a priest he meets on the boat. He gets a job at the Biltmore Hotel, where he immediately encounters the vivid hierarchies of this “classless country,” and then is drafted into the army and is sent to Germany to train dogs and type reports. It is Frank’s incomparable voice—his uncanny humor and his astonishing ear for dialogue—that renders these experiences spellbinding. When Frank returns to America in 1953, he works on the docks, always resisting what everyone tells him, that men and women who have dreamed and toiled for years to get to America should “stick to their own kind” once they arrive. Somehow, Frank knows that he should be getting an education, and though he left school at fourteen, he talks his way into New York University. There, he falls in love with the quintessential Yankee, long-legged and blonde, and tries to live his dream. But it is not until he starts to teach—and to write—that Frank finds his place in the world. The same vulnerable but invincible spirit that captured the hearts of readers in Angela’s Ashes comes of age. As Malcolm Jones said in his Newsweek review of Angela’s Ashes, “It is only the best storyteller who can so beguile his readers that he leaves them wanting more when he is done...and McCourt proves himself one of the very best.” Frank McCourt's ’Tis is one of the most eagerly awaited books of our time, and it is a masterpiece.",Frank McCourt,http://books.google.com/books/content?id=kI2EQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Scribner,2000-08-28,Biography & Autobiography
98505,A Pained Life: A Chronic Pain Journey,"In the blink of an eye, the most agonizing pain imaginable. And the authors life as she knew it was gone. The diagnosis was Trigeminal Neuralgia. And then, after months of spontaneous and constant pain - Chronic Pain. Ms. Levy takes us with her on her journey from who she was to who she became. We experience the fight with herself, the pain, and often the medical system itself, as she reaches out for relief and acceptance. ""A fascinating story, honestly told and courageously lived."" Stephen S. Hall, N.Y.Times magazine science and medicine writer. Author, Invisible Frontiers: The Race To Synthesize A Human Gene. ""This is the first time I have been let in so completely into the life of somewone living with chronic pain. A Pained Life is a compelling read. Ms. Levy has laid bare her experiencr so that others know that ultimately there is hope. I recommend it to pain patients, members of the medical community and the public at large."" John Park, M.D., anaesthesiologist and pain specialist. ""A Pained Life is an unsophisticated book, but it is so real, so honestly told, so suspenseful, that it is hard to put down. Carol Jay Levys courage and perseverance can help light the way for others who endure pain and a medical maze, with little hope and less help. Medical professionals might also gain insight from this personal story of someone at the other end of the stethoscope."" Kathy Lyons 3/28/04, American Chronic Pain Association. ""The detail with which the writer is able to describe the lead-up and surrounding details of the medical condition finally diagnosed as Trigeminal Neuralgia captures the readers attention with great intensity. The author has a good ability to draw emotions from the reader. She has done an exceptional job in writing so that the reader feels strong emotion about the author."" Writers Digest International Self-published Book Awards competition. ""My husband is reading your book now and seems *much* more empathetic. After he finishes it, I am lending it to my therapist and chiro who are great people but havent a clue what its like to live with pain 24/7. You are such a wonderful writer."" A.gye, pain patient. ""I finished the book, and it really was a GREAT read!! The way you described everything so vividly, made it feel like I was there along with you every step of the way! Jeremy Baker, Fox TV.",Carol Jay Levy,http://books.google.com/books/content?id=UoCfR9LyIAwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Xlibris Corporation,2003-09-12,Biography & Autobiography
75150,Remember Me to My Father,"In her award-winning book Harmful to Minors, Judith Levine radically upended our fixed ideas about childhood. Now, she tackles the other end of life in this poignant memoir of a daughter coming to terms with a difficult father who is sinking into dementia, presenting an insightful exploration of the ways we think about disability, aging, and the self as it resides in the body and the world. In prose that is unsentimental yet moving, serious yet darkly funny, complex in emotion and ideas yet spare in diction, Levine reassembles her father's personal and professional history even as he is losing track of it. She unpeels the layers of his complicated personality and uncovers information that surprises even her mother, to whom her father has been married for more than sixty years. As her father deteriorates, the family consensus about who he was and is and how best to care for him constantly threatens to collapse. Levine recounts the painful discussions, mad outbursts, and gingerly negotiations, and dissects the shifting alliances among family, friends, and a changing guard of hired caretakers. Spending more and more time with her father, she confronts a relationship that has long felt bereft of love. By caring for his needs, she learns to care about and, slowly, to love him. While Levine chronicles these developments, she looks outside her family for the sources of their perceptions and expectations, deftly weaving politics, science, history, and philosophy into their personal story. A memoir opens up to become a critique of our culture's attitudes toward the elderley. A claustrophobic account of Alzheimer's is transformed into a complex lesson about love, duty, and community. What creates a self and keeps it whole? Levine insists that only the collaboration of others can safeguard her father's self against the riddling of his brain. Embracing interdependence and vulnerability, not autonomy and productivity, as the seminal elements of our humanity, Levine challenges herself and her readers to find new meaning, even hope, in one man's mortality and our own.",Judith Levine,http://books.google.com/books/content?id=m7tcMh5IBjEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Simon and Schuster,2010-05-11,Biography & Autobiography
